Ticker,Short Name,Name,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M,EPS T12M,Ticker name 3,Ticker name 2,len,Ticker name
8071 HK Equity,CHINA NETCOM TEC,__±m_™_q,302643392,0.097000003,,-14.91227818,820000,-0.018594,8071,8071.HK,4,8071.HK
809 HK Equity,GLOBAL BIO-CHEM,_j_¬´ê_®Â“__,1036637760,0.162,,-25.6880722,3352002944,-0.520400003,809,809.HK,3,0809.HK
888 HK Equity,ROADSHOW HLDGS,ü™¡T_q,608392832,0.610000014,,-3.174600124,411945984,-0.048059,888,888.HK,3,0888.HK
8092 HK Equity,ITE HOLDINGS LTD,ITE HOLDINGS,161359936,0.173999995,96.66666412,0.578035891,26256206,0.0018,8092,8092.HK,4,8092.HK
268 HK Equity,KINGDEE INTL SFT,»Ö__¡êÈò,7041709568,2.400000095,51.2012558,-32.58426666,1956635442,0.049190714,268,268.HK,3,0268.HK
1371 HK Equity,CHINA LOTSYNERGY,µ¯±m±±»„,2436125184,0.284999996,,-21.91781044,643748000,-0.058475001,1371,1371.HK,4,1371.HK
8131 HK Equity,ABC MULTIACTIVE,¬¡î\Â“__,102376744,0.425000012,,-36.56716537,14562000,-0.055559998,8131,8131.HK,4,8131.HK
381 HK Equity,KIU HUNG INT'L,_«_øøˆá_,280097888,0.066,,-22.35294151,223313000,-0.028576,381,381.HK,3,0381.HK
2330 HK Equity,CHINA UPTOWN GRO,__¡ê_WÇ¡_¡_ë,518322688,0.340000004,,-10.52631378,9724626.204,-0.037847767,2330,2330.HK,4,2330.HK
39 HK Equity,CHINA BEIDAHUA-A,__¡ê´__jø”,1982965760,0.425000012,,-44.07894516,785700000,0.002682,39,39.HK,2,0039.HK
353 HK Equity,ENERGY INTERNATI,øˆá_¡êÈò_‘üê,436107744,0.143000007,,-35.87443924,87480000,-0.181984995,353,353.HK,3,0353.HK
8111 HK Equity,CHINA TECHNOLOGY,__Â“´œ_q,193051728,0.135000005,5.314960957,-12.90322304,140858000,0.025399999,8111,8111.HK,4,8111.HK
831 HK Equity,CONVENIENCE RET,_Q¬é_s¡‰,2603511296,3.450000048,19.07131004,-0.862068117,4728151040,0.210900001,831,831.HK,3,0831.HK
865 HK Equity,FIRST MOBILE GRP,_€_@_q¡T,326927424,0.167999998,7.988587379,0,7395138816,0.02103,865,865.HK,3,0865.HK
698 HK Equity,TONGDA GROUP HLD,_q_F_¡_ë,8775544832,1.529999971,12.16216183,11.67882919,6074060800,0.125799999,698,698.HK,3,0698.HK
361 HK Equity,SINO GOLF HLDGS,__Ës±±»„,393161984,0.167999998,,-26.31579018,261766000,-0.01684,361,361.HK,3,0361.HK
8078 HK Equity,CHINA 3D DIGITAL,__¡ê3D_®_X,3066206464,0.800000012,,75.82417297,173203000,-0.165049997,8078,8078.HK,4,8078.HK
274 HK Equity,C BILLION RES,__«Iüêá_,612530496,0.078000002,,0.000197249,43613000,-0.005903782,274,274.HK,3,0274.HK
682 HK Equity,CHAODA MODERN,_W_j_{´N_Aá~,539773632,0.164000005,,-33.87096405,1715910288,-2.14578461,682,682.HK,3,0682.HK
204 HK Equity,CHINA INV DEV,__¡ê_‘üê_}µo,1045600576,0.116999999,83.57143402,-20.94594765,26176000,0.0014,204,204.HK,3,0204.HK
8029 HK Equity,SUN INTERNATIONA,_î__¡êÈò_¡_ë,1892304000,1.360000014,,61.9047699,109295545,-0.278949994,8029,8029.HK,4,8029.HK
1100 HK Equity,MAINLAND HEADWEA,_ü_F«Uá~,530115776,1.330000043,10.0704174,-4.929571629,870998016,0.132069997,1100,1100.HK,4,1100.HK
380 HK Equity,SOFTPOWER INTERN,Ça_O¡êÈò,314651712,0.236000001,9.247649193,-18.62068748,611533984,0.025520001,380,380.HK,3,0380.HK
696 HK Equity,TRAVELSKY TECH-H,__¡ê´çøèÇH¨__™µü,43249377280,14.77999973,18.92309189,15.83071709,6750065422,0.815114068,696,696.HK,3,0696.HK
544 HK Equity,DAIDO GROUP LTD,_j_P_¡_ë,304038016,0.125,,-31.31867981,275783008,-0.003,544,544.HK,3,0544.HK
1666 HK Equity,TONG REN TANG-H,_P_ø¡—Â“__,15215714304,11.88000011,23.85066032,-6.603774548,4928641281,0.52045765,1666,1666.HK,4,1666.HK
627 HK Equity,U-RIGHT INTL HLD,__Çå¡êÈò,832659968,0.629999995,,44.82758331,488524000,-0.0016,627,627.HK,3,0627.HK
8063 HK Equity,GLOBAL MASTERMIN,Ë™_y_j_q_¡_ë,309651808,0.135000005,,29.80769539,56741000,-0.176000006,8063,8063.HK,4,8063.HK
162 HK Equity,CENTURY GINWA RE,´@Â_»Ö»‡¡îá~,831247168,0.730000019,,-37.60683441,1567675968,-0.000770001,162,162.HK,3,0162.HK
335 HK Equity,UPBEST GROUP LTD,ÂŸÇ¯_¡_ë,2923725312,2.180000067,3.739523411,-4.385960579,335385000,0.582962006,335,335.HK,3,0335.HK
365 HK Equity,SUN EAST TECH,__»FÂ“__,876750016,1.669999957,,19.2857132,802711008,-0.001599999,365,365.HK,3,0365.HK
3886 HK Equity,TOWN HEALTH,±d¡á¡êÈòåŒË¿,11176269824,1.440000057,33.15451431,-9.999998093,1122932992,0.043433002,3886,3886.HK,4,3886.HK
555 HK Equity,REXLOT HOLDINGS,±s¨›__±m±±»„,1787045632,0.179000005,11.80427456,-59.31818008,1554393984,0.015163999,555,555.HK,3,0555.HK
1177 HK Equity,SINO BIOPHARM,__¡ê´ê»ÇÈsÌ€,36986839040,4.989999771,17.88938713,-29.32011604,14983662848,0.278936329,1177,1177.HK,4,1177.HK
8103 HK Equity,TAI SHING INTERN,¨›_±¡êÈò(±±»„),116241328,1.169999957,,88.70967102,54493000,-0.137728604,8103,8103.HK,4,8103.HK
7 HK Equity,HOIFU ENERGY GRO,_ê«Iøˆá_,1014051264,0.620000005,,-13.88889122,171996000,-0.022600002,7,7.HK,1,0007.HK
510 HK Equity,CASH FINANCIAL S,¨ƒ«I»ÖÀ€»A¡é_¡_ë,1488369408,0.360000014,,9.090909004,252289992,0.0037,510,510.HK,3,0510.HK
1385 HK Equity,SHANGHAI FUDAN-H,_W¨Ÿ«_´_,3703980032,6,19.66888046,3.986135483,1280546182,0.317092482,1385,1385.HK,4,1385.HK
1009 HK Equity,INTERNATIONAL EN,¡êÈò¨T_…,1922026240,1.629999995,38.5169754,-1.807227254,343425984,0.042319002,1009,1009.HK,4,1009.HK
8050 HK Equity,YUNBO DIGITAL,___Í_£á~_¡_ë,1695312512,1.25,93.98496246,-45.65217209,439016008,0.0133,8050,8050.HK,4,8050.HK
111 HK Equity,CINDA INTERNATIO,ÇH_F¡êÈò±±»„,589909120,0.920000017,8.079033852,-12.38094711,149926000,0.063000001,111,111.HK,3,0111.HK
8017 HK Equity,LONG SUCCESS INT,_æ€…¡êÈò,594619904,0.405000001,,0,0,-0.02259,8017,8017.HK,4,8017.HK
8081 HK Equity,INTERACTIVE ENTE,_Â¨T__¡ê,546759936,0.111000001,,-50.25724792,499358992,-0.004635001,8081,8081.HK,4,8081.HK
202 HK Equity,EVERCHINA INTL,_’__¡êÈò±±»„,1464959360,0.240999997,,-16.89655113,101536000,-0.061150001,202,202.HK,3,0202.HK
399 HK Equity,INNOVATIVE PHARM,çp_X¡˜_]Â“___¡_ë,1420267264,0.970000029,,-20.49180222,30608000,-0.143200003,399,399.HK,3,0399.HK
339 HK Equity,EARNEST INVESTMN,_w_Q¨ƒ_‘üê,112520000,0.970000029,,11.49425602,-19017532,-0.202999994,339,339.HK,3,0339.HK
8116 HK Equity,CHINA FORTUNE IN,__¡ê©ø_…_‘üê,588679616,0.246000007,,-30.70422173,160002000,-0.203333993,8116,8116.HK,4,8116.HK
8086 HK Equity,DX.COM HOLDINGS,DX.COM±±»„,172133552,0.128000006,,-46.33123016,324816000,-0.211770001,8086,8086.HK,4,8086.HK
8108 HK Equity,GRAND PEACE,_…ÀA_¡_ë,40812592,0.115000002,,-36.81318283,83612000,-0.144431004,8108,8108.HK,4,8108.HK
8061 HK Equity,ACROSSASIA LTD,´œ¬é,344393856,0.068000004,,19.29825211,1781362016,-0.033400001,8061,8061.HK,4,8061.HK
8041 HK Equity,LUXEY INT'L,”Pµ„¡êÈò±±»„,764819072,0.150000006,,-36.17021179,125882000,-0.01373,8041,8041.HK,4,8041.HK
724 HK Equity,SINO-TECH INTERN,¨›å_¡êÈò,611124736,0.044,,-21.42857361,545055008,-0.00133,724,724.HK,3,0724.HK
966 HK Equity,CHINA TAIPING IN,__¡ê_î´_,50747543552,14.11999989,7.255290508,-41.16666794,1.61E+11,1.946165994,966,966.HK,3,0966.HK
8089 HK Equity,CHINESE STRATEGI,µ¯_Hµ___,611006272,0.620000005,,-12.67605305,32688000,-0.228062972,8089,8089.HK,4,8089.HK
8068 HK Equity,NEW UNIVERSE INT,ás_t¡êÈò_¡_ë,1773418240,0.600000024,38.79728699,-25.27614975,284323000,0.015465,8068,8068.HK,4,8068.HK
859 HK Equity,HENRY GROUP HOLD,å’Â“_¡_ë,1156440064,1.190000057,2.279693604,21.42857552,50584000,0.522000018,859,859.HK,3,0859.HK
550 HK Equity,CINMEDIA,´__‚«C,644203136,1.929999948,94.14633942,-31.07143021,62857000,-0.077599997,550,550.HK,3,0550.HK
8080 HK Equity,NORTH ASIA STRAT,´_¬éµ___,239374656,0.125,,1.626013398,1380514016,-0.120375003,8080,8080.HK,4,8080.HK
2008 HK Equity,PHOENIX SATELLIT,È–¡€_Ìµ¿,8601718784,1.720000029,77.88444519,-5.494506836,4200895104,0.022083999,2008,2008.HK,4,2008.HK
8008 HK Equity,SUNEVISION HLDGS,ásáN_™_¡_ë,5898826752,2.539999962,17.83707809,2.419352531,972997008,0.142400004,8008,8008.HK,4,8008.HK
857 HK Equity,PETROCHINA-H,__¡ê´ó»o,1.50E+12,5.239999771,50.90239716,3.149603367,2.04E+12,0.111849856,857,857.HK,3,0857.HK
8025 HK Equity,ACR HOLDINGS,¬éÂwüê_£,438694560,0.248999998,,-2.352940083,24288000,-0.003304,8025,8025.HK,4,8025.HK
2383 HK Equity,TOM GROUP LTD,TOM_¡_ë,7436146688,1.909999967,,-3.535356045,1267508992,-0.055117998,2383,2383.HK,4,2383.HK
2800 HK Equity,TRACKER FUND HK,_È«_ÂÍ«I¡˜»Ö,70424092672,20.14999962,,-8.145009995,,,2800,2800.HK,4,2800.HK
903 HK Equity,TPV TECHNOLOGY,Ça±_Â“__,3166608896,1.350000024,,32.35294724,84556625397,0.037575192,903,903.HK,3,0903.HK
58 HK Equity,SUNWAY INTL HLDG,ásÇå¡êÈò,741948544,0.170000002,,-34.37318039,343526000,0.168144716,58,58.HK,2,0058.HK
188 HK Equity,SUNWAH KINGSWAY,ásµ¯__«I»ÖÀ€,750897472,0.136000007,61.87443542,-8.019322395,129275364,0.002198,188,188.HK,3,0188.HK
2388 HK Equity,BOC HONG KONG HO,__Èé_È«_,2.37E+11,22.45000076,9.782251358,-5.274261475,70207000576,2.534449935,2388,2388.HK,4,2388.HK
1097 HK Equity,I-CABLE COMM,___u_eËW,1186792320,0.589999974,,17.99999428,1509678016,-0.115489997,1097,1097.HK,4,1097.HK
883 HK Equity,CNOOC,__¡ê¨ŸÂv´ó»o,4.05E+11,9.069999695,16.87628746,12.39157391,2.12E+11,0.562279598,883,883.HK,3,0883.HK
751 HK Equity,SKYWORTH DIGITAL,_____®_X,14259162112,4.849999905,4.31846571,-4.15019846,41205999616,1.123083979,751,751.HK,3,0751.HK
934 HK Equity,SINOPEC KANTONS,__´ó_®Ça_w,8975037440,3.609999895,8.740158081,-21.69197845,2043629984,0.413036004,934,934.HK,3,0934.HK
8016 HK Equity,CHANGHONG JIAHUA,»¿_i¬ëµ¯,1614663680,1.110000014,14.83501148,-16.54135513,20379641344,0.063506999,8016,8016.HK,4,8016.HK
8083 HK Equity,CHINA INNOVATION,__¡ê__ás__´I,2242963200,0.370000005,,-10.84337044,93829000,-0.028742,8083,8083.HK,4,8083.HK
1236 HK Equity,NATIONAL AGRI,¡ê_A±±»„,3354749952,1.580000043,,-52.97618866,199229517.5,-0.403460316,1236,1236.HK,4,1236.HK
1207 HK Equity,SRE GROUP LTD,_Wüm_¡_ë,4277460480,0.208000004,,-43.01369858,1762514944,-0.310674988,1207,1207.HK,4,1207.HK
758 HK Equity,JUNEFIELD DEPART,_¿_î_æ_f,355436000,0.340000004,,-7.602425098,316791000,-0.067870999,758,758.HK,3,0758.HK
8003 HK Equity,GREAT WORLD COMP,´@_j±±»„,414167520,0.194999993,,-27.77778244,14347000,-0.0151,8003,8003.HK,4,8003.HK
1073 HK Equity,CHINA AGROTECH,øE_ó_AÂ“,245432480,0.245000005,65.38564301,0,4928253184,0.003747,1073,1073.HK,4,1073.HK
1079 HK Equity,PINE TECHNOLOGY,»Q«_Â“__,331770528,0.360000014,14.17192268,44.57831955,2482277054,0.02540448,1079,1079.HK,4,1079.HK
388 HK Equity,HKEX,_È«_´_©_©ñ,2.15E+11,178.1000061,27.21926498,-8.903716087,12158999808,6.5431602,388,388.HK,3,0388.HK
1046 HK Equity,UNIVERSE INTL,_é_t¡êÈò,158218944,0.889999986,0.241654485,-34.55882645,344674008,3.682944311,1046,1046.HK,4,1046.HK
917 HK Equity,NEW WORLD CHINA,ás´@Âƒ__¡ê,67442765824,7.75,41.62191391,24.79871178,16060890112,0.272399992,917,917.HK,3,0917.HK
61 HK Equity,NORTH ASIA RESOU,´_¬éüêá_,1701237504,0.028999999,,-17.14286041,63923000,-0.189563002,61,61.HK,2,0061.HK
8088 HK Equity,AID PARTNERS CAP,___êüê´È,1527505920,0.165000007,,-45.90163803,160944000,-0.037100001,8088,8088.HK,4,8088.HK
8095 HK Equity,BEIDA JADE BIR-H,´__jÇC__,1504696064,1.269999981,13.83470249,-38.94230652,1369290352,0.094827707,8095,8095.HK,4,8095.HK
686 HK Equity,UNITED PHOTOVOLT,çp_X´œ´–,2831581184,0.589999974,5.88834095,-21.33333588,777436704,0.100197997,686,686.HK,3,0686.HK
927 HK Equity,FUJIKON IND HLDG,«I_h¡»_êá~,462212288,1.100000024,150.684967,10.00000191,1117207008,0.007299999,927,927.HK,3,0927.HK
599 HK Equity,E BON HLDGS LTD,©ƒ¬___±±»„,435435008,1.450000048,5.731225491,2.836885214,607750016,0.252999999,599,599.HK,3,0599.HK
8007 HK Equity,GLOBALSTRAT,Ë™_y_ï___¡_ë,1283684992,0.226999998,,31.97673798,217068000,-0.02097,8007,8007.HK,4,8007.HK
8032 HK Equity,VIVA CHINA HOLDI,ÇD_Z__¡ê,5686712832,0.649999976,,-18.75000381,147355000,-0.020952,8032,8032.HK,4,8032.HK
8026 HK Equity,PROSTEN TECHNOLO,»¿_FÂ“__,427190592,0.389999986,,-17.89473915,8549000,-0.030530001,8026,8026.HK,4,8026.HK
2886 HK Equity,BINHAI INVESTMEN,Ë¯¨Ÿ_‘üê,2466132736,2.099999905,0.246910632,-12.21532631,2554761984,8.505101077,2886,2886.HK,4,2886.HK
643 HK Equity,CARRY WEALTH,Ç’«I±±»„,1161618816,1.419999957,,10.93749905,120695000,-0.046200002,643,643.HK,3,0643.HK
997 HK Equity,CHINLINK INTL,«_____»Ö¡êÈò,809586304,0.289999992,3.478177547,-56.06060791,264905000,0.083376996,997,997.HK,3,0997.HK
8006 HK Equity,SINO SPLENDID,µ¯¨›áçÈé,141469200,0.022,9.830205917,-24.13792992,92724000,0.002238,8006,8006.HK,4,8006.HK
8033 HK Equity,VODATEL NETWORKS,áR_F_Q_™µü,233251216,0.379999995,21.60072899,28.8135643,327041992,0.017591999,8033,8033.HK,4,8033.HK
110 HK Equity,CHINA FORTUNE HL,__¡ê»¿Èá,320344416,0.38499999,,32.75862122,157902992,-0.028399999,110,110.HK,3,0110.HK
764 HK Equity,ETERNITY INVESTM,´Ìùòµ____‘üê,562801152,0.174999997,0.221750319,-23.91304588,184780000,0.34070515,764,764.HK,3,0764.HK
969 HK Equity,HUA LIEN INTL,µ¯çp¡êÈò,734045312,0.335000008,,-1.470586777,366308000,-0.261179999,969,969.HK,3,0969.HK
694 HK Equity,BEIJING CAP AI-H,´_¬æ___£_Ö_›,35296751616,8.149999619,18.13532066,-2.628437996,10499535082,0.467991386,694,694.HK,3,0694.HK
702 HK Equity,SINO OIL AND GAS,__¡ê»o¨_,3084695040,0.175999999,,-16.19047356,67021000,-0.026992,702,702.HK,3,0702.HK
692 HK Equity,CHINA HOUSEHOLD,__¡ê¨a©~,468339456,0.101000004,,-32.66666794,1152100992,-0.282350998,692,692.HK,3,0692.HK
768 HK Equity,UBA INVESTMENTS,_}©œ_‘üê,161086288,0.151999995,3.6573627,-27.27273178,163901412,0.04156,768,768.HK,3,0768.HK
8005 HK Equity,YUXING INFOTECH,üëÀ_Â“__,4953929216,2.75,,5.769234657,646485976,-0.158237997,8005,8005.HK,4,8005.HK
125 HK Equity,SUN HING VISION,ásÀ_´œ_‚,751545920,2.859999895,12.02751923,-0.348431736,1145515968,0.237788007,125,125.HK,3,0125.HK
1224 HK Equity,C C LAND HOLDING,__«Ÿüm_a,5176446464,2,3.787986279,-17.35537529,6603485952,0.527985007,1224,1224.HK,4,1224.HK
1173 HK Equity,VEEKO INTL HLDGS,Çå¡»¡êÈò,578110016,0.241999999,5.345585346,-29.85507202,2200607936,0.045271,1173,1173.HK,4,1173.HK
858 HK Equity,EXTRAWELL PHARM,_‘ËuÌ€á~,669200000,0.280000001,,-24.32432556,136159000,0.122299999,858,858.HK,3,0858.HK
1104 HK Equity,APAC RESOURCES L,¬é_îüêá_,845632000,0.092,,5.747129917,120587000,-0.006253,1104,1104.HK,4,1104.HK
1225 HK Equity,LERADO FINANCIAL,_©_¬_¡_ë,441451296,0.115000002,0.235709056,-22.81879234,176731000,0.609052223,1225,1225.HK,4,1225.HK
2972 HK Equity,C P NEW ENERGY,__¡ê_q_Oásøˆá_,5778904576,4.869999886,44.9091301,-35.92105484,2968277892,0.115053427,2972,2972.HK,4,2972.HK
143 HK Equity,GLOBAL TECH HLDG,€£Â“¡êÈò,1079688576,0.209000006,,-52.5,98858000,-0.005,143,143.HK,3,0143.HK
762 HK Equity,CHINA UNICOM,__¡êçp_q,2.03E+11,8.479999542,21.71721458,-8.179859161,3.33E+11,0.405897041,762,762.HK,3,0762.HK
3908 HK Equity,CHINA INTERNAT-H,__»Ö__´q,27449360384,11.89999962,8.611182213,-5.705232143,11722913792,1.381924033,3908,3908.HK,4,3908.HK
747 HK Equity,SHENYANG PUB-H,ån____´ë,881625600,0.600000024,,-25.92592239,383810022.8,-0.002469283,747,747.HK,3,0747.HK
922 HK Equity,ANXIAN YUAN CHIN,_w_Œ____¡ê,777126720,0.143000007,28.60000229,-7.741931915,102547000,0.005,922,922.HK,3,0922.HK
8028 HK Equity,TIMELESS SOFTWAR,_„¨ƒ_n´—,255503360,0.107000001,,-20.74074364,163871000,-0.016499507,8028,8028.HK,4,8028.HK
1070 HK Equity,TCL MULTIMEDIA T,TCL_h«CÅ_,8159540736,4.699999809,114.614563,-4.471549988,33089181696,0.041007005,1070,1070.HK,4,1070.HK
1043 HK Equity,COSLIGHT TECH,´œ_t¡êÈò,1079281792,2.700000048,178.5977783,-20.58823586,5051741504,0.016857187,1043,1043.HK,4,1043.HK
759 HK Equity,CEC INTL,CEC INT'L HOLD,672852736,1.00999999,36.38459396,-31.75675774,2542652928,0.027759001,759,759.HK,3,0759.HK
1163 HK Equity,DEJIN RESOURCES,_w»Öüêá_,92362920,0.215000004,,0,17486000,-4.296748012,1163,1163.HK,4,1163.HK
913 HK Equity,UNITY INVESTMENT,_X_@_‘üê,195005376,0.067000002,0.134582847,-45.52845383,670501040,0.11500001,913,913.HK,3,0913.HK
769 HK Equity,CHINA RARE EARTH,__¡êµ}_g,1334769152,0.569999993,,-13.6363678,843109984,-0.133167455,769,769.HK,3,0769.HK
855 HK Equity,CHINA WATER AFFA,__¡ê_™¡é,5957854720,3.920000076,14.65968609,5.376345158,3141214976,0.267400004,855,855.HK,3,0855.HK
342 HK Equity,NEWOCEAN ENERGY,ás¨Ÿøˆá_,3863839232,2.609999895,5.10763216,-14.14473915,15514990080,0.510999992,342,342.HK,3,0342.HK
